organization,organization_url,project_summary,year_approved,status,amount,duration
Asian American Writers' Workshop,http://www.aaww.org,Closeout general operating support.,2019,Active,"$100,000",12 months
Center for Urban Pedagogy,http://www.welcometocup.org,Closeout general operating support.,2019,Active,"$75,000",12 months
Clean Energy Group,http://www.cleanegroup.org,"General operating support for the Clean Energy Group’s work with low-wealth and frontline communities, policymakers, and developers to increase the adoption of advanced solar plus battery storage technologies and policies in service of just transition solutions.",2019,Active,"$150,000",24 months
Community Labor United,http://massclu.org/,"General operating support for Community Labor United, which is dedicated to coalition building, research and policy development, public education, and grassroots mobilization, to advance policies that promote quality jobs and climate and environmental justice for all.",2019,Active,"$275,000",36 months
Crux,www.crux.black/,A planning grant for Crux to: 1) complete the build out of its tech/platform; 2) develop critical partnerships and marketing materials; and 3) build a creator pipeline that will explore the development of immersive video games that will increase revenue streams for Black artists.,2019,Active,"$150,000",12 months
Energy Justice Institute (100% Pathways),,"To support the Energy Justice Institute’s development and dissemination of equity-focused energy policy tools, model legislation and model projects in partnership with frontline communities and policymakers.",2019,Active,"$175,000",24 months
Jobs to Move America,www.jobstomoveamerica.org,"To empower communities to leverage their tax dollars to generate good, equitable jobs, career pipelines, sustainability, and more government accountability.",2019,Active,"$750,000",36 months
Mississippi Center for Cultural Production,www.sippculture.com,"Closeout grant for the Mississippi Center for Cultural Production’s comprehensive approach to cultural, social, and economic development.",2019,Active,"$80,000",12 months
National Association of Latino Arts and Culture,http://www.nalac.org,Closeout general operating support.,2019,Active,"$150,000",12 months
Neighborhoods First Fund,neighborhoodsfirstfund.nyc ,"To enable Neighborhoods First’s support of organizations working to build the power of historically disinvested communities to control land, infrastructure, and resources and to disrupt patterns of structural racism that continue to shape New York City’s built environment.",2019,Active,"$450,000",36 months
New York Community Trust,nycommunitytrust.org,"For the Mosaic Network and Fund, a new donor collaborative created to support an arts ecosystem rooted in the values of racial equity by supporting arts groups that are led by, created for, and serve African, Latinx, Asian, Arab, and Native American people.",2019,Active,"$500,000",36 months
Public Advocates Inc.,http://www.publicadvocates.org/,To provide low-income communities of color with tools for democratic decision-making and community control to win community-serving investments and equitable resource allocation.,2019,Active,"$450,000",36 months
Southwest Folklife Alliance,www.southwestfolklife.org and http://www.tucsonmeetyourself.org,Closeout general operating support.,2019,Active,"$50,000",12 months
Thunder Valley Community Development Corporation,http://www.ThunderValley.org,Closeout grant for the creative design and development of Thunder Valley’s Regenerative Community Development — to address the root causes of the historical injustices that exist on the Pine Ridge Reservation.,2019,Active,"$100,000",12 months
University of Detroit Mercy Detroit Collaborative Design Center,http://www.udmercy.edu,Closeout grant to support the Detroit Collaborative Design Center’s community collaborations and participatory community design with urban neighborhoods and communities that are often excluded from the decision-making process.,2019,Active,"$75,000",12 months
Young Nation,http://youngnation.us/,Closeout general operating support.,2019,Active,"$150,000",24 months
Aspen Institute,http://www.aspeninstitute.org,"The purpose of this grant is to support the Aspen Institute’s Policy Programs—the Economic Opportunities Program (EOP), Center for Urban Innovation (CUI), and Latinos and Society Program (LAS)—in furthering equitable business ecosystems through research, dialogues, tool development, public events, and communications.",2018,Active,"$450,000",24 months
Building Equity and Alignment for Impact,https://bea4impact.org/,"The purpose of this grant is to support the BEA’s general operations as well as the BEA Fund, a regranting mechanism to support grassroots environmental justice organizations in the US and US territories.",2018,Active,"$375,000",36 months
California Environmental Justice Alliance,http://caleja.org,The purpose of this grant is to provide project support to the California Environmental Justice Alliance (CEJA) to bring the voice and vision of communities of color into statewide environmental justice policy.,2018,Active,"$450,000",36 months
Camelback Ventures,www.camelbackventures.org,"Renewal grant to support the creation of a fellowship program geared toward investors that will help them identify, fund and support entrepreneurs of color.",2018,Active,"$75,000",18 months
Center on Wisconsin Strategy,www.cows.org,"To support the Mayors Innovation Project in developing and implementing solutions to local government problems of infrastructure, inequality and climate change.",2018,Active,"$100,000",12 months
Chicago United Inc.,http://www.chicago-united.org,To expand the impact of Five Forward (a model for building stronger regional economies through minority business development) by creating a licensed product to launch local replications of the program.,2018,Active,"$350,000",24 months
Cincinnati USA Regional Chamber Foundation,http://www.cincinnatichamber.com/,"To support a pioneering initiative to connect minority entrepreneurs to tech-based business opportunities and growth industries, while enabling full program sustainability by piloting a new fee-for-service revenue model.",2018,Active,"$400,000",24 months
Fighter League,,"To support the pilot phase of the Fighter League, a project managed by the Just Community Energy Transition Fellow housed at the Movement Strategy Center (MSC). The Fighter League aims to support individual and community leadership development to advance equitable energy solutions and a just transition.",2018,Active,"$55,000",12 months
"Good Old Lower East Side, Inc.",www.goles.org,"The purpose of this grant is to support GOLES’ work with grassroots resident leadership in organizing to fight out-of-scale development and mitigate its impact, including displacement, loss of cultural heritage, affordability, and sustainability.",2018,Active,"$150,000",24 months
Ironbound Community Corporation,http://ironboundcc.org/,The purpose of this project grant is to support the Environmental Justice and Community Development team at the Ironbound Community Corporation. The team works to propose and implement solutions that address the disproportionate impact of climate change on communities of color and low-wealth communities in Newark and across New Jersey.,2018,Active,"$450,000",36 months
Just Transition Fund,http://www.justtransitionfund.org,"To support the Just Transition Fund (JTF), a pooled fund that strengthens and scales initiatives that create economic opportunity for the most impacted coal-affected workers and communities. JTF advances environmental and economic solutions that are both equitable and low-carbon.",2018,Active,"$150,000",24 months
National Black Food and Justice Alliance,http://www.blackfoodjustice.org,"The purpose of this grant is to support NBFJA’s capacity to coordinate a movement-based democratic process to protect, enhance and expand Black land via organizing trainings, coordination and ultimately a capital fund with a national legal strategy.",2018,Active,"$175,000",12 months
National Domestic Workers Alliance,http://www.domesticworkers.org,"The purpose of this grant is to improve the job quality and economic security of domestic and home care workers nationwide by growing our membership base, providing skills training and benefits access, and raising standards for our workforce.",2018,Active,"$225,000",12 months
North Star Fund,http://northstarfund.org/,"To support the general operations of Community Food Funders as well as the launch of its food justice fellowship program for emerging leaders to build equitable food systems in New York City, the Hudson Valley and Long Island",2018,Active,"$50,000",12 months
Project 500,,To support a national accelerator that will recruit and retain a pipeline of investment-ready businesses—led by women and entrepreneurs of color—that can scale through supply chain opportunities with large retailers.,2018,Active,"$185,000",18 months
Anchorage Museum,http://www.anchoragemuseum.org,"To provide closeout support for the Solutions for Energy and Equity through Design Lab, an innovation space that brings together artists, designers, engineers, and community members to generate public-private solutions to economic and environmental challenges facing Northern communities. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2018,Active,"$50,000",12 months
ALIGN: the Alliance for a Greater New York,http://www.alignny.org,General operating support.,2018,Active,"$300,000",36 months
Deep Center,http://www.deepkids.com,"Closeout general operating support. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2018,Active,"$50,000",12 months
Economic Policy Institute,http://www.epi.org,"To support the Economic Policy Institute’s efforts in activating the Economic Analysis and Research Network (EARN) in the South Initiative, a collaboration between southern EARN groups and state-level organizing and advocacy organizations working to improve economic conditions for working families in the southern region of the United States.",2018,Active,"$650,000",36 months
"Massachusetts Museum of Contemporary Art Foundation, Inc.",massmoca.org/assetsforartists.org,"To provide closeout support for the development of the Assets for Artists artist empowerment toolkit, and for the expansion of programming for artist-entrepreneurs in North Adams and partnerships with Massachusetts MFA programs. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2018,Active,"$50,000",12 months
New World Foundation,http://www.newwf.org,"To support the work of the Climate Action Fund, which makes grants to organizations to increase their internal organizational and networking capacity to become influential actors in the decision-making process that impacts our daily lives.",2018,Active,"$100,000",12 months
PolicyLink,http://www.policylink.org,"To support PolicyLink to develop and implement an Equity Officer Policy Network to accelerate the impact of municipal and county equity officers to advance equitable development, build inclusive economies, and further policy reforms.",2018,Active,"$750,000",36 months
Project South,www.projectsouth.org,To support the collaborative efforts of over 20 social justice organizations in the South to launch the #SouthernPeoplesPower Organizing Tour.,2018,Active,"$50,000",6 months
Sundance Institute,http://www.sundance.org,"To provide closeout support for the Native American and Indigenous Program, whose mission is to support the creative and professional development of Native American and Indigenous film and media storytelling artists at all stages of their careers. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2018,Active,"$100,000",12 months
Voices of Our Nations Arts Foundation,www.vonacommunity.org,"Closeout general operating support. This grant closes out our previous strategies in preparation for the rollout of our new arts and culture program, Radical Imagination for Racial Justice.",2018,Active,"$50,000",12 months
Winrock International,http://Winrock.org; Wallacecenter.org; NGFN.org ,General operating support.,2018,Active,"$300,000",24 months
Action Center on Race and the Economy Institute,https://www.acrecampaigns.org/,"To develop models and provide technical assistance to municipalities for resisting water privatization. Annually, $50,000 will be regranted equally between Corporate Accountability and Food and Water Watch.",2018,Active,"$300,000",24 months
Allied Media Projects,www.alliedmedia.org ,To support the 2018 Allied Media Conference and the People in Education program.,2018,Closed,"$75,000",12 months
Arizona State University Foundation,http://www.asufoundation.org,"To support the Arizona Creative Communities Institute work at the Herberger Institute for Design and the Arts at Arizona State University, which will continue to support connections between University resources (faculty, fellows, students, technology, etc.) and community-based organizations throughout the state over the next few years.",2018,Active,"$200,000",12 months
Asian Pacific Environmental Network,http://www.apen4ej.org,General operating support.,2018,Active,"$400,000",36 months
Baltimore Community Foundation,http://www.cmtalliance.org,To support the Baltimore Community Foundation launch a multi-year strategy to advance an inclusive small business agenda by complementing various small business and impact investing initiatives occurring throughout Baltimore.,2018,Active,"$500,000",18 months
Center for Heirs Property,http://www.heirsproperty.org,General operating support.,2018,Active,"$200,000",24 months
Center for Story-based Strategy,http://www.storybasedstrategy.org,General operating support.,2018,Active,"$175,000",24 months
City Scale,,"To support City Scale to continue to work among and across local government sustainability directors, community-based organizations and funders implementing alternatives for climate action that results in more equitable outcomes for low-wealth communities and communities of color at the local and regional scale.",2018,Active,"$150,000",24 months
Climate Interactive,http://www.climateinteractive.org,To support an evaluation of the Just Growth Circle equitable development efforts in Atlanta.,2018,Active,"$15,000",12 months
"Common Market Philadelphia, Inc.",thecommonmarket.org,General operating support.,2018,Active,"$300,000",24 months
Corcoran Gallery of Art and College of Art + Design,http://www.corcoran.org,"an exhibition and two-day convening that  will focus on equity/inequity within Indian Country associated with the Corcoran’s Salon Dore Series on Equity, Culture and Creativity",2018,Active,"$25,000",12 months
Council on Foundations,http://www.cof.org,To support a planning grant to develop the framework structure for aligning the national grant programs and project pipeline with the impact investment sector.,2018,Active,"$50,000",12 months
"Didtechnology, Inc.",http://www.digitalundivided.com ,General operating support.,2018,Active,"$600,000",36 months
Eastern Market Corporation,www.easternmarket.com ,To suppport the growth of Detroit’s food economy while improving equity. The focus of this grant is for FoodLab Detroit to capitalize and strengthen our model of supporting the enterprises of low-income and residents of color.,2018,Active,"$100,000",12 months
For Freedoms,http://www.forfreedoms.org/,"To support For Freedoms, a project that places artists’ voices at the center of the discussion about what freedom looks like in the 21st century, particularly leading up to the 2018 elections.",2018,Active,"$50,000",12 months
Foundation for Louisiana,http://www.foundationforlouisiana.org,General operating support.,2018,Active,"$1,300,000",36 months
Funders' Network for Smart Growth and Livable Communities,http://www.fundersnetwork.org,"To support the growth of Partners for Places (Rounds 13 – 14), a successful matching grant program that creates opportunities for cities and counties in the United States and Canada to improve communities by building partnerships between local government sustainability offices and place-based foundations.",2018,Active,"$200,000",12 months
Gehl Institute,,"To support the connection between Gehl Institute and grassroots organizations addressing urban racial and economic justice, in an effort to center these issues in the fields of public-interest design and urban design more broadly.",2018,Closed,"$40,000",12 months
"Georgia WAND Education Fund, Inc",gawand.org,To support the Advancing Equity and Opportunity Collaborative Disaster Recovery and Restoration Working Group to work across three states to connect the impacts of climate change and highlight opportunities around renewable energy for environmental justice communities in the South.,2018,Active,"$50,000",12 months
Grantmakers in the Arts,http://www.giarts.org,General operating support.,2018,Closed,"$35,000",12 months
Greater New Orleans Foundation,http://www.gnof.org,To support the “living with water” movement in New Orleans (Orleans Parish) as it transitions to the next mayoral administration and expands the movement into neighboring Jefferson Parish.,2018,Active,"$375,000",24 months
Greater New Orleans Funders Network,http://gnofundersnetwork.org/,To provide operating support for the Greater New Orleans Funders Network.,2018,Active,"$150,000",36 months
Greenlining Institute,http://www.greenlining.org,"To support the Greenlining Institute’s Racial Equity Civic Fellowship, which is a full-time detailed staff person housed with the City of Oakland’s Economic Development to advance and implement a racial equity agenda that results in inclusive growth, increased economic security, and reduced racial income disparities.",2018,Active,"$400,000",30 months
Groundwork USA,http://www.groundworkusa.org,"To support community-based social enterprises that provide stormwater green infrastructure services and enable low-wealth communities to build wealth, as well as secure environmental benefits of retrofitting the landscape.",2018,Active,"$80,000",12 months
